transaction_id,timestamp,customer_id,product_id,quantity,discount_applied,gross_revenue,campaign_id,refund_flag
108,2022-07-04 07:29:16,60635,1731.0,4,0.0,537.48,0,0
109,2021-12-27 21:48:31,99104,1563.0,1,0.0,106.29,28,0
110,2022-05-17 05:37:41,3708,,2,0.1,,0,0
111,2021-08-15 14:18:11,31530,1206.0,1,0.0,14.9,38,0
112,2023-12-31 15:59:39,41424,202.0,1,0.0,42.74,7,0
113,2021-10-07 06:49:07,26705,1518.0,2,0.2,139.12,0,0
114,2021-04-15 03:32:58,15676,1663.0,1,0.0,160.51,18,0
115,2021-05-22 08:56:11,18464,1596.0,1,0.1,22.23,0,0
116,2022-08-09 13:14:39,71866,1624.0,1,0.0,51.0,28,0
117,2021-12-28 08:37:48,64563,1390.0,1,0.0,74.12,24,0
118,2021-08-04 12:37:31,4200,1691.0,1,0.0,73.65,41,0
119,2023-08-06 12:40:39,70728,897.0,1,0.0,50.23,5,0
120,2022-09-23 15:27:07,24374,1631.0,1,0.05,54.37,1,0
121,2022-12-13 16:08:49,94811,1812.0,1,0.0,59.43,0,0
122,2021-08-23 20:46:36,16626,443.0,1,0.0,148.63,29,0
123,2022-05-26 16:44:18,70122,1294.0,1,0.0,54.57,32,0
124,2023-01-15 20:05:09,17572,1621.0,1,0.1,77.48,38,0
125,2022-07-01 09:26:38,46053,988.0,1,0.15,57.3,4,0
126,2021-12-16 00:15:21,73295,1223.0,1,0.05,79.32,38,0
127,2023-05-17 01:47:09,5711,789.0,1,0.1,14.5,41,0
128,2021-10-17 16:47:13,31683,417.0,3,0.1,268.11,38,0
129,2021-05-23 16:32:25,37161,1208.0,1,0.0,25.42,17,0
130,2021-06-29 17:20:26,92091,503.0,1,0.2,97.1,8,0
131,2021-07-29 07:05:59,71968,239.0,1,0.05,39.2,49,0
132,2021-03-14 13:55:42,14197,57.0,1,0.05,172.85,0,0
133,2022-07-10 06:37:58,24828,322.0,2,0.1,75.62,29,0
134,2021-01-20 02:50:36,29802,1786.0,1,0.0,11.89,0,0
135,2022-11-20 09:29:50,39611,1214.0,1,0.05,35.63,0,0
136,2022-11-13 06:43:13,88196,1605.0,3,0.1,504.66,4,0
137,2021-03-16 04:36:00,57070,542.0,1,0.15,48.82,11,0
138,2021-09-09 10:57:07,29284,70.0,1,0.0,127.77,21,0
139,2022-05-26 08:35:45,16830,1565.0,1,0.0,49.38,50,0
140,2021-06-18 18:11:40,71300,812.0,2,0.0,304.96,0,0
141,2022-04-19 07:01:30,51594,1201.0,2,0.0,95.62,5,0
142,2021-11-29 06:59:52,82932,1853.0,1,0.0,92.26,29,0
143,2023-07-18 08:08:14,74278,1555.0,1,0.0,65.12,6,0
144,2021-01-17 19:16:32,8095,648.0,1,0.05,106.79,0,0
145,2023-06-19 20:56:32,40384,,1,0.05,,14,0
146,2023-05-03 08:30:23,78138,736.0,1,0.0,10.13,47,0
147,2021-09-10 09:33:32,17886,327.0,1,0.0,14.72,33,0
148,2023-03-21 11:05:57,92546,317.0,1,0.1,46.27,8,0
149,2023-07-04 07:00:08,64732,908.0,1,0.05,132.2,0,0
150,2022-12-19 16:03:21,16862,1757.0,1,0.2,78.62,27,0
151,2022-06-03 16:34:34,60049,1191.0,2,0.15,40.17,32,0
152,2022-03-28 02:12:28,69024,1434.0,2,0.0,116.42,28,0
153,2022-09-08 07:08:02,59063,1024.0,1,0.0,71.58,12,0
154,2022-06-01 05:59:34,1151,276.0,1,0.0,80.73,15,0
155,2022-08-16 03:39:39,90642,1500.0,1,0.0,14.98,0,0
156,2021-07-10 19:57:20,59327,1633.0,1,0.0,41.19,25,0
157,2022-02-21 15:04:00,14717,1590.0,1,0.1,271.65,30,0
158,2023-10-13 10:54:21,78769,1117.0,1,0.0,99.89,16,0
159,2021-08-27 08:58:08,22042,1069.0,3,0.0,32.97,0,0
160,2023-05-24 08:50:18,37581,,1,0.0,,4,0
161,2023-10-29 17:55:27,32600,292.0,1,0.0,138.05,37,0
162,2022-02-21 05:38:30,90918,1763.0,1,0.0,136.97,40,0
163,2021-12-30 22:22:35,99052,178.0,3,0.0,202.38,0,0
164,2022-07-11 21:32:24,50392,476.0,1,0.1,46.65,28,0
165,2021-04-01 23:05:41,8392,256.0,1,0.05,144.55,18,0
166,2022-06-26 18:45:13,20590,,1,0.0,,0,0
167,2023-03-27 23:51:15,55821,1828.0,2,0.15,119.99,46,0
168,2023-11-20 15:39:55,14983,499.0,1,0.0,89.69,8,0
169,2023-04-24 10:27:10,96673,,3,0.0,,23,0
170,2023-04-10 19:53:23,12388,154.0,2,0.1,-85.23,8,1
171,2021-03-20 18:25:48,49071,1866.0,2,0.0,113.56,0,0
172,2021-05-13 18:51:48,48960,1014.0,1,0.1,75.95,40,0
173,2021-04-20 12:03:34,61048,529.0,1,0.0,108.79,8,0
174,2022-11-03 17:38:42,12271,963.0,1,0.1,55.08,31,0
175,2023-08-15 17:45:58,58619,408.0,1,0.0,14.64,40,0
176,2022-10-29 05:02:11,17091,1893.0,1,0.1,39.82,42,0
177,2021-05-26 00:35:14,45870,1596.0,1,0.05,23.46,31,0
178,2022-04-28 12:18:16,23436,1775.0,1,0.0,20.35,3,0
179,2023-11-18 00:32:47,65939,257.0,2,0.0,160.74,5,0
180,2023-08-26 08:07:24,7100,,2,0.2,,44,0
181,2022-05-30 07:45:59,86612,584.0,2,0.1,79.92,0,0
182,2021-09-19 05:02:33,43633,127.0,1,0.0,116.18,40,0
183,2023-08-27 17:20:06,54814,213.0,1,0.1,41.18,0,0
184,2022-12-01 07:30:01,26365,1425.0,2,0.0,159.24,11,0
185,2021-08-20 19:20:58,72138,1841.0,1,0.1,69.29,23,0
186,2021-12-19 22:26:39,58727,326.0,1,0.0,12.2,44,0
187,2021-12-21 06:37:38,84870,1452.0,2,0.0,102.66,0,0
188,2023-06-16 03:52:57,71378,515.0,1,0.05,77.5,0,0
189,2021-10-29 05:57:56,28535,1566.0,1,0.0,18.51,42,0
190,2021-06-19 15:46:42,93083,1459.0,1,0.05,132.51,49,0
191,2021-06-08 18:26:07,73350,1383.0,1,0.0,74.8,11,0
192,2021-01-29 16:09:00,76684,554.0,2,0.05,186.14,50,0
193,2022-01-07 21:00:35,63944,411.0,1,0.05,129.11,9,0
194,2023-12-17 05:25:46,56689,1821.0,1,0.0,38.78,37,0
195,2022-12-25 18:51:26,84816,1782.0,1,0.0,85.6,16,0
196,2021-05-24 02:34:37,45008,1793.0,2,0.1,96.71,20,0
197,2021-10-11 19:17:50,87188,577.0,1,0.0,113.4,38,0
198,2023-02-26 16:55:09,30757,1056.0,1,0.15,52.33,31,0
199,2022-03-12 23:00:21,6972,1373.0,1,0.0,56.49,45,0
200,2022-05-15 00:35:39,47476,1838.0,1,0.05,29.48,18,0
201,2023-01-26 23:00:48,3555,1916.0,2,0.0,30.48,0,0
202,2023-09-14 05:50:19,11694,789.0,2,0.0,32.22,5,0
203,2023-02-12 16:39:47,65914,100.0,1,0.15,20.27,0,0
204,2022-04-23 19:37:12,83912,403.0,2,0.05,59.98,29,0
205,2023-09-02 21:48:02,73315,571.0,1,0.0,23.73,27,0
206,2021-12-20 06:19:38,35206,1193.0,1,0.0,49.26,3,0
207,2023-06-10 21:44:33,85649,,1,0.2,,45,0
208,2021-05-16 19:38:39,89899,705.0,2,0.1,503.77,36,0
209,2021-09-18 14:20:24,83702,562.0,1,0.05,13.09,31,0
210,2022-11-15 17:48:45,92014,1492.0,1,0.1,62.15,5,0
211,2021-10-08 21:41:49,50618,1522.0,1,0.0,161.21,37,0
212,2022-07-18 02:00:35,55786,1753.0,1,0.15,36.53,10,0
213,2022-02-14 00:58:57,86010,813.0,1,0.15,10.21,28,0
214,2023-04-26 09:27:06,54499,293.0,1,0.2,25.53,43,0
215,2021-08-10 16:32:11,32810,1074.0,1,0.0,20.91,45,0
216,2021-03-10 20:07:09,44201,1538.0,4,0.1,53.68,0,0
217,2022-11-21 19:57:19,66259,1182.0,2,0.0,131.9,48,0
218,2022-07-03 13:25:05,23457,495.0,1,0.0,167.2,47,0
219,2021-04-19 05:57:41,39522,1962.0,1,0.0,73.34,20,0
220,2021-06-06 18:48:38,39633,113.0,1,0.0,13.51,25,0
221,2023-01-01 00:54:49,60895,,1,0.15,,36,0
222,2021-12-21 14:07:52,93128,488.0,3,0.0,49.62,46,0
223,2022-12-18 19:05:56,19294,1465.0,2,0.0,262.88,4,0
224,2022-01-15 03:15:30,43331,1145.0,1,0.1,47.0,7,0
225,2021-03-27 19:51:43,26535,1895.0,1,0.15,24.34,44,0
226,2021-03-22 07:01:38,61207,1329.0,1,0.1,99.07,25,0
227,2021-06-14 18:28:41,30441,601.0,1,0.0,34.58,16,0
228,2022-09-29 21:57:32,39338,479.0,1,0.0,55.87,0,0
229,2023-11-05 17:41:15,71717,668.0,1,0.1,120.13,39,0
230,2021-01-07 01:29:57,87884,1845.0,3,0.1,135.16,18,0
231,2023-10-30 21:48:01,23133,1104.0,1,0.0,50.01,25,0
232,2021-11-09 20:19:50,50419,807.0,1,0.05,53.17,46,0
233,2022-09-15 16:38:40,57173,1970.0,1,0.15,61.98,0,0
234,2022-10-06 01:08:44,45663,1561.0,2,0.0,212.92,7,0
235,2021-11-30 07:07:22,58675,239.0,2,0.05,78.39,5,0
236,2023-06-25 21:31:37,35675,21.0,1,0.0,56.9,0,0
237,2023-05-27 13:39:46,45652,1608.0,2,0.0,114.1,0,0
238,2023-11-07 05:30:04,23994,1291.0,1,0.1,41.7,27,0
239,2023-05-13 08:56:57,54750,101.0,1,0.0,36.56,0,0
240,2021-01-24 09:20:36,494,598.0,1,0.1,118.21,45,0
241,2022-04-26 01:31:38,26504,907.0,1,0.0,28.26,0,0
242,2023-12-17 08:06:23,32988,100.0,1,0.15,20.27,24,0
243,2021-05-25 03:07:23,42016,1294.0,1,0.0,54.57,45,0
244,2021-08-25 19:15:15,45628,700.0,1,0.0,101.85,44,0
245,2023-04-05 18:29:37,69017,593.0,1,0.05,110.0,1,0
246,2022-01-31 22:55:34,47701,87.0,1,0.05,257.04,20,0
247,2022-04-23 20:40:41,44037,1817.0,2,0.0,27.12,49,0
248,2022-10-14 15:18:22,32353,,1,0.05,,16,0
249,2021-01-19 12:54:03,37776,1933.0,1,0.2,22.54,32,0
250,2023-07-02 06:12:13,56791,732.0,1,0.05,-121.87,49,1
251,2022-02-23 05:41:23,64323,,2,0.0,,17,0
252,2022-10-18 20:04:13,95449,533.0,1,0.1,84.74,4,0
253,2023-01-01 15:13:12,93428,1293.0,1,0.0,8.29,16,0
254,2023-05-06 13:07:38,51344,1701.0,1,0.0,226.78,16,0
255,2022-12-21 02:28:27,36746,1201.0,3,0.05,136.26,0,0
256,2022-02-04 07:55:22,80971,1838.0,1,0.0,31.03,23,0
257,2022-01-08 16:15:14,75228,903.0,2,0.0,133.04,27,0
258,2021-01-16 12:42:39,20074,1265.0,1,0.0,76.17,37,0
259,2023-07-25 22:37:56,28411,1165.0,1,0.0,36.89,17,0
260,2023-04-23 17:44:24,7643,1884.0,1,0.0,40.61,0,0
261,2021-03-18 23:54:44,62889,1934.0,1,0.0,88.93,18,0
262,2021-03-10 11:47:24,83181,1426.0,1,0.15,5.95,32,0
263,2022-01-30 07:50:45,59811,1019.0,1,0.0,68.28,43,0
264,2022-12-18 20:28:20,19227,1791.0,1,0.05,14.34,48,0
265,2021-11-29 03:20:02,3714,1320.0,1,0.0,23.57,40,0
266,2022-09-07 05:43:05,90080,1314.0,1,0.0,54.35,0,0
267,2021-11-28 05:00:32,48374,411.0,1,0.0,135.91,0,0
268,2022-01-21 06:59:20,80844,1518.0,1,0.05,82.6,29,0
269,2023-04-21 17:53:24,23296,718.0,1,0.0,11.95,12,0
270,2023-07-05 16:33:36,13520,440.0,1,0.0,86.75,50,0
271,2022-01-02 14:36:34,36358,1518.0,1,0.0,86.95,40,0
272,2022-03-25 01:45:40,92173,1011.0,1,0.0,69.3,28,0
273,2022-08-12 23:39:01,95368,137.0,1,0.0,121.92,8,0
274,2021-12-26 17:01:06,8217,128.0,2,0.0,380.82,19,0
275,2023-12-05 05:12:35,30396,204.0,2,0.0,165.18,16,0
276,2021-05-30 06:30:26,61024,750.0,1,0.15,95.42,42,0
277,2022-02-17 07:39:35,57639,502.0,1,0.1,14.01,11,0
278,2022-02-17 20:23:27,95144,1568.0,1,0.0,33.22,0,0
279,2023-05-21 19:25:42,87788,1807.0,1,0.1,23.57,25,0
280,2023-12-02 05:49:56,16009,27.0,3,0.0,158.25,27,0
281,2023-03-07 03:36:28,2379,307.0,1,0.0,15.44,34,0
282,2023-10-05 18:51:39,39790,625.0,1,0.0,17.87,37,0
283,2021-03-21 17:06:54,82359,,2,0.0,,0,0
284,2022-08-05 08:46:40,43985,326.0,2,0.05,23.18,0,0
285,2021-10-23 14:46:55,8156,409.0,1,0.0,40.81,7,0
286,2022-06-15 13:22:43,99447,1144.0,1,0.0,65.76,44,0
287,2021-11-11 10:28:19,57757,154.0,1,0.0,47.35,42,0
288,2021-10-08 18:27:24,62177,1781.0,1,0.1,13.51,9,0
289,2023-07-04 05:15:30,16638,,1,0.15,,44,0
290,2022-07-18 08:49:44,7978,581.0,2,0.15,391.12,15,0
291,2022-06-08 11:08:43,27149,27.0,1,0.1,47.48,3,0
292,2023-07-08 16:50:06,75987,669.0,1,0.0,100.67,15,0
293,2022-09-05 10:13:33,64420,349.0,1,0.05,46.86,19,0
294,2022-05-09 06:51:58,75323,1116.0,1,0.0,86.99,13,0
295,2021-02-25 16:48:51,39505,1547.0,4,0.0,138.84,24,0
296,2021-11-04 11:28:16,77294,1287.0,3,0.1,187.49,31,0
297,2023-04-11 17:42:03,88242,235.0,1,0.05,10.36,12,0
298,2021-04-24 17:14:06,71287,1044.0,2,0.0,144.3,41,0
299,2021-09-19 16:10:42,74241,1844.0,1,0.0,83.69,26,0
300,2021-06-12 19:51:46,54831,1256.0,3,0.0,110.31,50,0
301,2021-01-25 21:10:23,780,314.0,1,0.0,49.33,5,0
302,2022-10-09 15:56:29,22845,1388.0,1,0.0,157.3,21,0
303,2022-10-07 07:29:45,91794,405.0,1,0.05,23.7,13,0
304,2023-03-06 06:06:45,33515,1983.0,1,0.05,25.6,0,0
305,2021-11-12 17:45:29,74942,631.0,4,0.0,144.56,17,0
306,2022-11-21 16:11:21,28175,801.0,3,0.0,211.53,34,0
307,2023-04-11 18:50:03,89867,462.0,1,0.05,20.7,40,0
308,2021-03-24 08:16:08,5572,884.0,3,0.0,36.6,40,0
309,2022-05-18 12:17:20,32908,1042.0,1,0.0,118.46,8,0
310,2022-11-05 07:54:28,97107,343.0,1,0.0,175.43,0,0
311,2021-07-24 07:54:52,42179,323.0,1,0.05,76.47,27,0
312,2022-08-12 20:30:56,54168,605.0,1,0.0,53.64,2,0
313,2023-07-22 14:17:30,63235,1594.0,2,0.15,94.03,7,0
314,2021-06-25 05:35:24,56881,1122.0,1,0.0,55.07,6,0
315,2021-12-11 11:20:17,47436,910.0,1,0.0,107.98,28,0
316,2023-11-04 06:43:19,41531,1145.0,4,0.0,208.88,4,0
317,2023-04-09 15:16:05,66349,116.0,1,0.05,8.01,7,0
318,2022-11-21 08:52:48,4295,115.0,1,0.0,9.01,26,0
319,2021-04-12 22:24:42,69838,113.0,1,0.0,13.51,0,0
320,2022-06-05 10:21:57,20422,574.0,1,0.15,75.38,2,0
321,2021-07-27 18:40:54,88294,757.0,2,0.2,136.66,0,0
322,2023-05-27 05:57:44,47838,935.0,1,0.05,77.78,12,0
323,2021-02-09 10:25:15,57843,1301.0,1,0.0,28.14,43,0
324,2023-06-29 08:57:56,28320,724.0,1,0.15,70.69,18,0
325,2023-05-08 07:02:37,40660,268.0,1,0.0,196.6,14,0
326,2023-02-28 14:37:36,76280,1974.0,2,0.1,69.53,0,0
327,2022-02-01 02:21:28,84307,1615.0,2,0.0,217.12,33,0
328,2021-11-30 12:43:17,39948,907.0,1,0.2,22.61,49,0
329,2023-05-22 00:38:55,19261,664.0,1,0.1,38.48,18,0
330,2022-01-07 13:22:03,72191,692.0,1,0.05,109.83,8,0
331,2023-12-21 08:23:42,27075,1317.0,1,0.1,18.09,18,0
332,2023-07-14 10:53:24,94125,775.0,1,0.0,46.55,36,0
333,2021-11-26 22:49:37,42431,1520.0,1,0.0,25.84,37,0
334,2021-05-25 16:45:03,58899,759.0,1,0.1,29.74,31,0
335,2022-12-26 14:10:10,20052,973.0,1,0.0,196.26,7,0
336,2021-05-26 18:51:58,57150,1779.0,1,0.0,96.17,30,0
337,2022-03-31 16:13:10,13480,1005.0,3,0.1,39.99,0,0
338,2021-08-06 04:01:47,44176,222.0,3,0.05,230.08,0,0
339,2022-11-24 05:54:06,29707,1791.0,1,0.0,15.1,0,0
340,2022-01-04 16:24:30,66822,332.0,1,0.0,21.34,45,0
341,2023-11-28 13:38:02,30256,,2,0.0,,22,0
342,2021-05-22 00:11:28,57066,1457.0,1,0.05,45.55,0,0
343,2021-06-02 20:29:04,25755,1147.0,1,0.0,53.62,4,0
344,2023-10-09 19:45:10,81674,750.0,1,0.05,106.65,5,0
345,2022-12-19 20:20:18,87530,1277.0,2,0.0,299.76,22,0
346,2023-08-09 18:29:24,81775,1107.0,1,0.0,98.66,44,0
347,2022-11-05 05:08:16,42693,326.0,1,0.0,12.2,0,0
348,2023-06-24 17:56:48,65844,557.0,1,0.0,60.39,8,0
349,2022-06-13 20:12:08,33361,1374.0,2,0.1,90.88,0,0
350,2022-05-23 04:13:09,67757,596.0,1,0.05,53.0,0,0
351,2023-11-20 13:34:55,10884,1250.0,1,0.0,126.17,25,0
352,2023-11-04 07:56:17,57470,1955.0,1,0.0,52.79,7,0
353,2021-01-02 10:51:23,39884,769.0,1,0.2,119.5,0,0
354,2021-03-25 23:26:39,87493,101.0,3,0.0,109.68,40,0
355,2021-06-01 21:08:21,3372,1715.0,1,0.0,71.9,48,0
356,2021-02-26 15:04:15,41854,10.0,2,0.0,168.22,36,0
357,2023-05-14 16:23:29,3156,774.0,4,0.0,380.36,34,0
358,2021-12-11 20:17:32,12535,132.0,1,0.0,97.99,24,0
359,2021-01-21 13:08:47,6971,1158.0,1,0.2,117.1,28,0
360,2022-01-08 09:40:49,20144,1824.0,1,0.0,10.39,43,0
361,2022-11-19 02:44:23,4470,1410.0,1,0.0,52.99,18,0
362,2021-09-28 11:56:10,20515,985.0,1,0.0,183.56,14,0
363,2021-02-01 21:00:05,45270,,1,0.0,,0,0
364,2023-03-25 11:07:30,45659,813.0,2,0.05,22.82,0,0
365,2022-03-25 20:14:11,59990,1859.0,1,0.0,37.49,9,0
366,2022-06-07 15:31:05,79142,1938.0,1,0.2,7.87,47,0
367,2022-10-16 19:50:58,43391,589.0,1,0.0,153.25,48,0
368,2021-12-26 23:43:01,40465,700.0,3,0.0,305.55,29,0
369,2022-06-20 09:36:22,99307,1440.0,1,0.0,10.26,29,0
370,2023-11-12 19:54:02,63598,976.0,1,0.1,74.06,19,0
371,2022-06-07 13:33:16,87054,230.0,1,0.0,94.61,7,0
372,2022-02-26 15:46:36,28109,1755.0,1,0.05,151.81,23,0
373,2022-09-17 11:37:24,84539,1863.0,1,0.0,102.13,44,0
374,2023-01-24 20:56:19,15706,1519.0,4,0.2,559.17,0,0
375,2022-02-22 12:58:56,5291,699.0,4,0.0,134.12,26,0
376,2021-12-21 17:19:19,83959,47.0,1,0.0,42.69,12,0
377,2023-12-27 13:30:50,111,909.0,1,0.0,19.95,18,0
378,2023-05-22 05:19:10,86692,552.0,1,0.0,11.22,50,0
379,2021-05-01 06:40:13,54847,1611.0,1,0.0,94.22,25,0
380,2023-12-05 18:25:26,8093,1326.0,1,0.0,104.63,37,0
381,2023-11-28 19:16:03,22882,1884.0,1,0.05,38.58,0,0
382,2022-02-25 05:52:28,97047,1406.0,1,0.05,14.46,7,0
383,2023-05-13 05:38:04,53227,1816.0,1,0.0,83.89,44,0
384,2022-06-24 16:11:04,751,33.0,1,0.0,38.6,47,0
